title,author,binding,in_stock,category,product_url,price_idr,original_price_idr,discount_percent
"Pandora's Box: How Guts, Guile, and Greed Upended ...","Biskind, Peter",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9780062991669/pandora-s-box-how-guts-guile-and-greed-upended-tv?path=1_13,697000.0,697000.0,0.0
Pitch: How to Captivate and Convince Any Audience ...,"Fontaine, Danny",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781805221043/pitch-how-to-captivate-and-convince-any-audience-on-the-planet?path=1_13,360000.0,360000.0,0.0
Nudge: The Final Edition,"Thaler, Richard H.",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780143137009/nudge-the-final-edition?path=1_13,258000.0,258000.0,0.0
Thinking Machine,"Witt, Stephen",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780593834565/thinking-machine?path=1_13,449000.0,562000.0,20.0
The Diary of a CEO : The 33 Laws of Business and Life...,"Bartlett, Steven",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781529146523/the-diary-of-a-ceo-the-33-laws-of-business-and-life?path=1_13,275000.0,275000.0,0.0
Money for Couples: No More Stress. No More Fights. ...,"Sethi, Ramit",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781523523689/money-for-couples-no-more-stress-no-more-fights-just-a-10-step-plan-to-create-your-rich-life-together?path=1_13,132300.0,374000.0,65.0
The 80/20 Principle : Achieve More with Less: the ...,"Koch, Richard",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781529370454/the-80-20-principle-achieve-more-with-less-the-essential-guide-to-increasing-productivity-effectiveness-and-results-us?path=1_13,348000.0,348000.0,0.0
"The Intelligent Investor, 3rd Ed.: The Definitive ...","Graham, Benjamin",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9780063356726/the-intelligent-investor-3rd-ed-the-definitive-book-on-value-investing?path=1_13,643000.0,804000.0,20.0
"Our Dollar, Your Problem: An Insider's View of Seven...","Rogoff, Kenneth",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9780300275315/our-dollar-your-problem-an-insider-s-view-of-seven-turbulent-decades-of-global-finance-and-the-road-ahead?path=1_13,600000.0,646000.0,7.0
The Rules Book : 44 Principles to Master Working Life...,"Tschappeler, Roman",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781805225492/the-rules-book-44-principles-to-master-working-life?path=1_13,275000.0,275000.0,0.0
Leading at a Higher Level: Blanchard on Leadership...,"Blanchard, Ken",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780135425138/leading-at-a-higher-level-blanchard-on-leadership-and-creating-high-performing-organizations-paperback?path=1_13,858000.0,858000.0,0.0
The Personal MBA 10th Anniversary Edition,"Kaufman, Josh",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780525543022/the-personal-mba-10th-anniversary-edition?path=1_13,385000.0,385000.0,0.0
The Shock Doctrine : The Rise of Disaster Capitalism...,"Klein, Naomi",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780141024530/the-shock-doctrine-the-rise-of-disaster-capitalism?path=1_13,312000.0,349000.0,11.0
Your Money: Reimagining Wealth in 101 Simple Sketches...,"Richards, Carl",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781804091715/your-money-reimagining-wealth-in-101-simple-sketches?path=1_13,420000.0,420000.0,0.0
Noise,"Sunstein, Cass R.",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780008534448/noise?path=1_13,185000.0,185000.0,0.0
The Winner's Curse : Behavioral Economics Anomalies...,"Imas, Alex O.",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9780241789681/the-winner-s-curse-behavioral-economics-anomalies-then-and-now?path=1_13,585000.0,585000.0,0.0
How Countries Go Broke,"Dalio, Ray",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781398551466/how-countries-go-broke?path=1_13,650000.0,650000.0,0.0
Power and Progress: Our Thousand-Year Struggle Over...,"Acemoglu, Daron",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781541702547/power-and-progress-our-thousand-year-struggle-over-technology-and-prosperity?path=1_13,438000.0,438000.0,0.0
Smart Money: How Digital Currencies Will Shape the...,"Rosa, Brunello",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781526678492/smart-money-how-digital-currencies-will-shape-the-new-world-order?path=1_13,264000.0,264000.0,0.0
The Science of Scaling: Grow Your Business Bigger ...,"Hardy, Benjamin",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781401967635/the-science-of-scaling-grow-your-business-bigger-and-faster-than-you-think-possible?path=1_13,475000.0,475000.0,0.0
The Visual MBA : A Quick Guide to Everything You'll...,Jason Barron,Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780241386682/the-visual-mba-a-quick-guide-to-everything-you-ll-learn-in-two-years-of-business-school?path=1_13,478000.0,478000.0,0.0
The Modern Marketing Playbook,Kum Doreen,Paperback,1,Business & Self-Help,http://www.periplus.com/p/9789819820467/the-modern-marketing-playbook?path=1_13,550000.0,550000.0,0.0
Distancing,"Gillespie, Michael",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780241661659/distancing?path=1_13,202300.0,385000.0,47.0
Discipline Is Destiny,"Holiday, Ryan",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781788166348/discipline-is-destiny?path=1_13,285000.0,285000.0,0.0
"Collaborating with the Enemy, Second Edition: How ...","Kahane, Adam",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9798890571175/collaborating-with-the-enemy-second-edition-how-to-work-with-people-you-don-t-agree-with-or-like-or-trust?path=1_13,415000.0,415000.0,0.0
Free and Equal: A Manifesto for a Just Society,"Chandler, Daniel",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780593687536/free-and-equal-a-manifesto-for-a-just-society?path=1_13,188300.0,350000.0,46.0
Strong Ground,"Brown, Brene",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781785043208/strong-ground?path=1_13,384000.0,498000.0,23.0
How Countries Go Broke: The Big Cycle,"Dalio, Ray",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781501124068/how-countries-go-broke-the-big-cycle?path=1_13,650000.0,650000.0,0.0
